,Bremerhaven,Rostock-Warnemuende,Hamburg-Fuhlsbuettel,Postdam,Essen,Bad Marienberg,Kassel,Braunlage,Chemnitz,Hof,Fichtelberg,Mannheim,Muehldorf/Inn,Stotten,Garmisch-Partenkirchen
2011-12-18 18:00:00,275.37077099097496,276.76520734976197,275.1990717097862,276.097267371496,274.3703497456672,273.167462295952,274.1926955761136,273.4781089723224,272.7456577034364,272.7317629639182,271.3313717167662,274.1400940622234,273.8760940113783,267.9837319742832,266.6280023898682
2011-12-18 19:00:00,275.2606055562238,276.67290658010563,275.02836490999164,275.936485385643,274.43585351768144,273.18036455407605,274.02992862747226,273.39176309103095,272.50051479908024,272.69206370815203,271.1259280681763,273.63591351399293,273.9048759718088,268.29735609483606,266.53173169463525
2011-12-18 20:00:00,275.02439498441504,276.5865606988142,275.01844009605014,275.79158310209647,274.188725650537,273.10989837509106,274.0051165926184,273.20815403311235,272.63549226868525,272.47967268980295,271.32144690282473,273.20219914474745,273.9713722252171,268.8541381569567,265.8856263070407
2011-12-18 21:00:00,274.8725453311094,276.3503501270054,274.99660550537874,275.40352287698204,274.1609361715007,273.0463795658652,273.9713722252171,272.8349810289103,272.44592832240176,271.9933568066673,271.0554618891913,273.1456277052806,273.8721240858017,269.575672130507,265.8697466047342
2011-12-18 22:00:00,274.69290619876745,276.0208463041461,274.567853543104,275.23976344694654,273.6904999906714,272.9719434613036,274.0190113321366,273.0483645286535,272.5987704571015,272.0658079484406,270.84307087084227,273.34710142829397,273.75104135571485,267.61452889565777,261.5326029122792
2011-12-18 23:00:00,275.04424461229814,275.9741996786209,274.66809416391357,275.20502659815116,273.5386503373658,272.51738698278086,273.8393721997946,272.96896601712115,272.4429508782193,272.19086060410405,270.78252950579883,273.43741723516206,273.70240976740126,268.0998522973993,262.1598511533848
2011-12-19 00:00:00,275.0730265727286,275.92457560891313,274.9112521054814,275.40550783977034,273.430469865403,272.1124545739658,273.76890602080965,273.0245449751938,272.3685147736577,271.81768759990194,270.76267987791573,272.87865021025306,273.51284582111776,268.8412358988327,263.1553099917217
2011-12-19 01:00:00,275.0323348355683,276.0228312669344,274.8189513358251,275.6685154092213,273.7192819511019,271.9407552927771,273.6259887000514,272.96797353572697,272.47768772701465,271.70255975818003,270.738860324456,272.64343211983845,273.591251851256,269.66896538155754,264.3373553321597
2011-12-19 02:00:00,275.20701156093946,276.12108692495576,274.68695131040255,275.7925755834906,273.9505301159399,271.81272519293117,273.4781089723224,272.9957630147633,272.3397328132272,271.70454472096833,270.4758527550051,272.52135690835746,273.6716428441825,269.7513413372723,265.1601224079138
2011-12-19 03:00:00,275.5206356814923,276.18162828999914,274.458680589747,275.7101996277758,274.21850009236164,271.77104097437666,273.2944999144038,272.75756748016624,272.19284556689234,271.22815365177416,270.2981985854515,272.2851463365487,273.2964848771921,269.7831007418853,265.695069879363
2011-12-19 04:00:00,275.3350416607854,276.2173576201887,274.4735678106593,275.69828985104596,274.1847557249604,272.07672524377625,272.85185321261093,272.68809378257544,272.1045147228126,271.0693566287095,270.1840632251237,272.4379884712485,273.0314923449529,269.6630104931926,265.78439320483693
2011-12-19 05:00:00,275.4084852839528,276.2044553620647,274.5916730965637,275.63874096739664,273.88701130671404,272.2047553436222,272.6096877524372,272.370499736446,271.9705297346017,270.80436409647024,269.9329654324026,272.21865008314035,272.8121539568447,268.98812314516755,265.0916411917171
2011-12-19 06:00:00,275.25961307482964,276.2074328062472,274.6115227244468,275.6466808185499,274.06268051347934,272.2047553436222,272.26728167145393,272.0737477995938,271.66980787217295,270.42225875972076,269.5955217583901,272.5332666850873,272.68710130118126,267.88448383486775,263.4609942611213
2011-12-19 07:00:00,275.2675529259829,276.26698168989645,274.6780189778551,275.5901093790831,273.5972067396209,272.0677929112289,272.1739884204034,271.93182296022974,271.18746191461383,270.1969654832477,269.24616830764774,272.775432145261,272.40622906663555,266.8552806291296,261.8889037327806
2011-12-19 08:00:00,275.1434927517136,276.43669600829685,274.7276430475629,275.5226206442806,273.56147740943135,271.81371767432535,272.26033430169485,271.9387703299888,271.2172363564385,269.90517595336627,268.9970554777149,272.8657479521291,272.56304112691197,266.1198519160611,260.5222568530299
2011-12-19 09:00:00,275.3380191049679,276.52403437098246,274.99660550537874,275.51269583033906,273.9286955252685,272.0826801321412,272.3635523666869,271.920905664894,271.5258980700205,270.37759709698383,269.3563337423989,273.39871046079,272.89750735674204,267.4984085725417,263.0183475593284
2011-12-19 10:00:00,275.8809064275704,276.7056584661127,275.4829213885144,275.6953124068635,274.87353781250357,272.7972667359324,273.16051492619295,272.4886050223504,272.3615674038986,271.471311593342,270.04114590436546,273.6686654,273.6021691465917,269.4238224772014,268.1326041834064
